Nome,Descricao,Data Inicio,Data Fim,Imagem,Tipo
Participação,Participação no Desafio de Programação,2020-02-24,2020-02-25,badges/desafios/participanteDesafioProg.png,2
1º Lugar,Vencedor do Desafio de Programação,2020-02-24,2020-02-25,badges/desafios/vencedorDesafioProg.png,2
Final,Finalista no Desafio de Programação,2020-02-24,2020-02-25,badges/desafios/finalistaDesafioProg.png,2
Semi-Final,Semi-Finalista no Desafio de Programação,2020-02-24,2020-02-25,badges/desafios/semiFinalistaDesafioProg.png,2
Participação,Participação no Bubble Soccer,2020-02-24,2020-02-27,badges/desafios/bubblesoccer.png,2
Participação,Participação no Desafio de Fotografia,2020-02-23,2020-02-27,badges/desafios/participanteDesafioFotografia.png,2
1º Lugar,Vencedor do Desafio de Fotografia,2020-02-23,2020-02-27,badges/desafios/vencedorDesafioFotografia.png,2
Participação,Participação no Quiz,2020-02-25,2020-02-26,badges/desafios/participanteQuiz.png,2
1º Lugar,Vencedor do Quiz,2020-02-25,2020-02-26,badges/desafios/vencedorQuiz.png,2
Final,Finalista no Quiz,2020-02-25,2020-02-26,badges/desafios/finalistaQuiz.png,2
Participação,Participação no torneio de ping-pong,2020-02-23,2020-02-27,badges/desafios/participantePingPong.png,2
1º Lugar,Vencedor do torneio de ping-pong,2020-02-23,2020-02-27,badges/desafios/vencedorPingPong.png,2
Participação,Participação no torneio de FIFA,2020-02-23,2020-02-27,badges/desafios/participanteFifa.png,2
1º Lugar,Vencedor do torneio de FIFA,2020-02-23,2020-02-27,badges/desafios/vencedorFifa.png,2
Participação,Participação no torneio de matraquilhos,2020-02-23,2020-02-27,badges/desafios/participantematrecos.png,2
1º Lugar,Vencedor do torneio de matraquilhos,2020-02-23,2020-02-27,badges/desafios/vencedormatrecos.png,2
Participação,Participação no Rally das tascas,2020-02-25,2020-02-26,badges/desafios/rally.png,2
1º Lugar,Vencedor do Rally das tascas,2020-02-25,2020-02-26,badges/desafios/vencedorRally.png,2
Participação,Participação no Peddy Paper,2020-02-25,2020-02-26,badges/desafios/participantePeddyPaper.png,2
1º Lugar,Vencedor do Peddy Paper,2020-02-25,2020-02-26,badges/desafios/vencedorPeddyPaper.png,2
Curriculum Vitae,Submeter CV,2020-02-23,2020-02-27,badges/desafios/cv.png,2
6 empresas,Visitar a banca de 6 empresas,2020-02-23,2020-02-27,badges/desafios/6.png,2
12 empresas,Visitar a banca de 12 empresas,2020-02-23,2020-02-27,badges/desafios/12.png,2
18 empresas,Visitar a banca de 18 empresas,2020-02-23,2020-02-27,badges/desafios/18.png,2
27 empresas,Visitar a banca de 27 empresas,2020-02-23,2020-02-27,badges/desafios/27.png,2
Participação,Participação na Festa Noturna,2020-02-23,2020-02-24,badges/desafios/festanoturna.png,2
Participação,Participação na Mega Febrada,2020-02-24,2020-02-25,badges/desafios/megafebrada.png,2
Participação,Jantar empresarial,2020-02-24,2020-02-25,badges/desafios/jantarempresarial.png,2
