Nome,Descricao,Data Inicio,Data Fim,Imagem,Tipo,Tokens,Patrocinio,Channel_id
Accenture (Exclusive),Visitar o stand da Accenture,2020-02-23,2020-02-27,badges/empresas/accenture.png,4,1,Gold,1
NOS (Gold),Visitar o stand da NOS,2020-02-23,2020-02-27,badges/empresas/nos.png,4,1,Gold,2
KPMG (Gold),Visitar o stand da KPMG,2020-02-23,2020-02-27,badges/empresas/kpmg.png,4,1,Gold,3
Subvisual (Gold),Visitar o stand da Subvisual,2020-02-23,2020-02-27,badges/empresas/subvisual.png,4,1,Gold,4
Primavera (Silver),Visitar o stand da Primavera,2020-02-23,2020-02-27,badges/empresas/primavera.png,4,1,Gold,5
Newhotel (Silver),Visitar o stand da Newhotel,2020-02-23,2020-02-27,badges/empresas/newhotelSoftware.png,4,1,Gold,6
Eurotux (Silver),Visitar o stand da Eurotux,2020-02-23,2020-02-27,badges/empresas/eurotux.png,4,1,Gold,7
Sonae BIT (Silver),Visitar o stand da Sonae BIT,2020-02-23,2020-02-27,badges/empresas/bitBySonae.png,4,1,Gold,8
INCM (Silver),Visitar o stand da INCM,2020-02-23,2020-02-27,badges/empresas/incm.png,4,1,Gold,9
Hitachi Solutions (Silver),Visitar o stand da Hitachi Solutions,2020-02-23,2020-02-27,badges/empresas/hitachiSolutions.png,4,1,Gold,10
Deloitte (Silver),Visitar o stand da Deloitte,2020-02-23,2020-02-27,badges/empresas/deloitte.png,4,1,Gold,11
Checkmarx (Silver),Visitar o stand da Checkmarx,2020-02-23,2020-02-27,badges/empresas/checkmarx.png,4,1,Gold,12
Glintt (Silver),Visitar o stand da Glintt,2020-02-23,2020-02-27,badges/empresas/glintt.png,4,1,Gold,13
Bosch (Silver),Visitar o stand da Bosch,2020-02-23,2020-02-27,badges/empresas/bosch.png,4,1,Gold,14
Retail Consult (Silver),Visitar o stand da Retail Consult,2020-02-23,2020-02-27,badges/empresas/retailConsult.png,4,1,Gold,15
Globalvia (Silver),Visitar o stand da Globalvia,2020-02-23,2020-02-27,badges/empresas/globalvia.png,4,1,Gold,16
Apside (Bronze),Visitar o stand da Apside,2020-02-23,2020-02-27,badges/empresas/apside.png,4,1,Gold,17
Seegno (Bronze),Visitar o stand da Seegno,2020-02-23,2020-02-27,badges/empresas/seegno.png,4,1,Gold,18
UbiWhere (Bronze),Visitar o stand da UbiWhere,2020-02-23,2020-02-27,badges/empresas/ubiwhere.png,4,1,Gold,19
Critical Software (Bronze),Visitar o stand da Critical Software,2020-02-23,2020-02-27,badges/empresas/critical.png,4,1,Gold,20
AlticeLabs/Inova-Ria (Bronze),Visitar o stand da AlticeLabs/Inova-Ria,2020-02-23,2020-02-27,badges/empresas/inovariaGenius.png,4,1,Gold,21
OutSystems (Bronze),Visitar o stand da OutSystems,2020-02-23,2020-02-27,badges/empresas/outSystems.png,4,1,Gold,22
Nmbrs (Bronze),Visitar o stand da Nmbrs,2020-02-23,2020-02-27,badges/empresas/nmbrs.png,4,1,Gold,23
Devexperts (Bronze),Visitar o stand da Devexperts,2020-02-23,2020-02-27,badges/empresas/devexperts.png,4,1,Gold,24
Blip (Bronze),Visitar o stand da Blip,2020-02-23,2020-02-27,badges/empresas/blip.png,4,1,Gold,25
Farfetch (Bronze),Visitar o stand da Farfetch,2020-02-23,2020-02-27,badges/empresas/farfetch.png,4,1,Gold,26
Kelvin Inc (Bronze),Visitar o stand da Kelvin Inc,2020-02-23,2020-02-27,badges/empresas/kelvinInc.png,4,1,Gold,27
M&Costas (Apoio),Visitar o stand da M&Costas,2020-02-23,2020-02-27,badges/empresas/mcostas.png,4,1,Gold,28
