Nome,Descricao,Data Inicio,Data Fim,Imagem,Tipo
Talk Helder Coelho,Assistir à Talk 2 Décadas de Progresso da IA (2000-19): os Novos Desafios,2020-02-24,2020-02-25,badges/talks/talkheldercoelho.png,6
Talk Jorge Ferreiro,Assistir à Talk Gimme a job... I mean: How to get a tech internship?,2020-02-24,2020-02-25,badges/talks/talkjorgeferreiro.png,6
Talk Nikiforos Botis,Assistir à Talk Machine Learning Lifecycle in the Cloud,2020-02-24,2020-02-25,badges/talks/talknikiforosbotis.png,6
Talk David Amador,Assistir à Talk That first game I thought would be a hit!,2020-02-24,2020-02-25,badges/talks/talkdavidamador.png,6
Talk Bosch,Assistir à Talk Let’s be Autonomous,2020-02-24,2020-02-25,badges/talks/talkbosch.png,6
Talk Primavera,Assistir à Talk magIA @PRIMAVERA,2020-02-24,2020-02-25,badges/talks/talkprimavera.png,6
Talk Ubiwhere,Assistir à Talk IOT at Ubiwhere  ,2020-02-24,2020-02-25,badges/talks/talkubiwhere.png,6
Talk Paulo Novais,Assistir à Talk Learning to Fly,2020-02-24,2020-02-25,badges/talks/talkpaulonovais.png,6
Tertúlia Privacidade de Dados,Assistir à Tertúlia Privacidade de Dados,2020-02-24,2020-02-25,badges/talks/privacidadedados.png,6
Talk Filipa Lacerda,Assistir à Talk Remote work with Zapier,2020-02-25,2020-02-26,badges/talks/talkfilipalacerda.png,6
Talk Pedro Moreira da Silva,Assistir à Talk Design aberto e desenvolvimento iterativo na GitLab,2020-02-25,2020-02-26,badges/talks/talkpedrosilva.png,6
Talk André Barbosa,Assistir à Talk Machine Learning in Production,2020-02-25,2020-02-26,badges/talks/talkandrebarbosa.png,6
Talk Miguel Palhas,Assistir à Talk Continuous Stuff,2020-02-25,2020-02-26,badges/talks/talkmiguelpalhas.png,6
Talk Deloitte,Assistir à Talk How to reveal your impact? Deloitte explains,2020-02-25,2020-02-26,badges/talks/talkdeloitte.png,6
Talk João Vilaça,Assistir à Talk DevOps em Arquiteturas de Microserviços,2020-02-25,2020-02-26,badges/talks/talkvilaca.png,6
Talk KPMG,Assistir à Talk Cloud Delivery @KPMG,2020-02-25,2020-02-26,badges/talks/talkkpmg.png,6
Talk Checkmarx,Assistir à Talk Why you should care about Application Security,2020-02-25,2020-02-26,badges/talks/talkcheckmarx.png,6
Talk Eduardo Barbosa,Assistir à Talk Living inside Emacs,2020-02-25,2020-02-26,badges/talks/talkherulume.png,6
Talk José Ferrão,Assistir à Talk Como entregar e visualizar mais de 300GB de dados 3D em tempo real na web.,2020-02-25,2020-02-26,badges/talks/talkjoseferrao.png,6
Tertúlia Empreendedorismo,Assistir à Tertúlia Empreendedorismo,2020-02-25,2020-02-26,badges/talks/tertuliaempreendedorismo.png,6
Talk Nuno Brites,Assistir à Talk de Developing Software for Digital Trucks,2020-02-26,2020-02-27,badges/talks/talknunobrites.png,6
Talk Accenture,Assistir à Talk,2020-02-26,2020-02-27,badges/talks/talkaccenture.png,6
Talk David Sopas,Assistir à Talk Do I need a hoodie to hack a bank?,2020-02-26,2020-02-27,badges/talks/talkdavidsopas.png,6
Talk Eurotux,Assistir à Talk Let’s be a DevOps Engineer,2020-02-26,2020-02-27,badges/talks/talkeurotux.png,6
Talk Glintt,Assistir à Talk Olá!,2020-02-26,2020-02-27,badges/talks/talkglintt.png,6
Talk Globalvia,Assistir à Talk A transformação digital da mobilidade,2020-02-26,2020-02-27,badges/talks/talkglobalvia.png,6
Talk Pedro Correia,Assistir à Talk Computer Science in the Trading Floor,2020-02-26,2020-02-27,badges/talks/talkpedrocorreia.png,6
Talk José Resende,Assistir à Talk Saving the bees with IoT and Elixir,2020-02-26,2020-02-27,badges/talks/talkjoseresende.png,6
Sessão de Abertura,Assistir à Sessão de Abertura,2020-02-23,2020-02-24,badges/talks/sessaoabertura.png,6
