Nome,Descricao,Data Inicio,Data Fim,Imagem,Tipo,Tokens
Pequeno-almoço segunda,Pequeno almoço de segunda,2020-02-24,2020-02-25,badges/verificacoes/pequenoAlmocoSegunda.png,0,1
Pequeno-almoço terça,Pequeno almoço de terça,2020-02-25,2020-02-26,badges/verificacoes/pequenoAlmocoTerca.png,0,1
Pequeno-almoço quarta,Pequeno almoço de quarta,2020-02-26,2020-02-27,badges/verificacoes/pequenoAlmocoQuarta.png,0,1
Almoço segunda,Almoço de segunda,2020-02-24,2020-02-25,badges/verificacoes/almocoSegunda.png,0,1
Almoço terça,Almoço de terça,2020-02-25,2020-02-26,badges/verificacoes/almocoTerca.png,0,1
Almoço quarta,Almoço de quarta,2020-02-26,2020-02-27,badges/verificacoes/almocoQuarta.png,0,1
Jantar domingo,Jantar de domingo,2020-02-23,2020-02-24,badges/verificacoes/jantarDomingo.png,0,1
Jantar segunda (Mega febrada),Jantar de segunda (Mega febrada),2020-02-24,2020-02-25,badges/verificacoes/jantarSegunda.png,0,1
Jantar terça,Jantar de terça (UM),2020-02-25,2020-02-26,badges/verificacoes/jantarTerca.png,0,1
Alojamento D. Maria II,Alojamento no D. Maria II,2020-02-23,2020-02-26,badges/verificacoes/alojamentoDMaria.png,0,1
Alojamento Alberto Sampaio,Alojamento na Alberto Sampaio,2020-02-23,2020-02-26,badges/verificacoes/alojamentoAlbertoSampaio.png,0,1
Fino Grátis,Fino grátis,2020-02-23,2020-02-24,badges/verificacoes/fino.png,0,1
