Badge,Descrição / Como ganhar,Begin,End,Begin Badge,End Badge,Image path,Tipo,Valor (tokens)
Sessão de abertura,Participa na Sessão de Abertura,2022-02-15T10:00:00Z,2022-02-15T11:00:00Z,2022-02-15T09:00:00Z,2022-02-15T14:00:00Z,data/Badges/AtividadesDesafios/abertura.svg,3,20
Dia 1,Participa no evento no dia 15 de fevereiro,2022-02-15T09:00:00Z,2022-02-15T23:59:00Z,2022-02-14T09:00:00Z,2022-02-14T09:01:00Z,data/Badges/AtividadesDesafios/dia15.svg,3,20
Dia 2,Participa no evento no dia 16 de fevereiro,2022-02-16T09:00:00Z,2022-02-16T23:59:00Z,2022-02-14T09:00:00Z,2022-02-14T09:01:00Z,data/Badges/AtividadesDesafios/dia16.svg,3,20
Dia 3,Participa no evento no dia 17 de fevereiro,2022-02-17T09:00:00Z,2022-02-17T23:59:00Z,2022-02-14T09:00:00Z,2022-02-14T09:01:00Z,data/Badges/AtividadesDesafios/dia17.svg,3,20
Dia 4,Participa no evento no dia 18 de fevereiro,2022-02-18T09:00:00Z,2022-02-18T17:00:00Z,2022-02-14T09:00:00Z,2022-02-14T09:01:00Z,data/Badges/AtividadesDesafios/dia18.svg,3,20
Ain't nobody got time fo' that,"Participa em todos os dias do evento (15, 16, 17 e 18)",2022-02-18T09:00:00Z,2022-02-18T17:00:00Z,2022-02-14T09:00:00Z,2022-02-14T09:01:00Z,data/Badges/AtividadesDesafios/nobodygottime.svg,3,50
Damn son :o,Recebe 100 badges,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-14T09:00:00Z,2022-02-14T09:01:00Z,data/Badges/AtividadesDesafios/damnson.svg,3,100
Talk Aficionado,Participa em todas as talks e tertúlias,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-14T09:00:00Z,2022-02-14T09:01:00Z,data/Badges/AtividadesDesafios/talkaficionado.svg,3,50
Workshop Enthusiast,Participa em 3 workshops,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-14T09:00:00Z,2022-02-14T09:01:00Z,data/Badges/AtividadesDesafios/workshopenthusiast.svg,3,50
Curious George,Participa em todos os pitches,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-14T09:00:00Z,2022-02-14T09:01:00Z,data/Badges/AtividadesDesafios/curiousgeorge.svg,3,50
Acreditação,Faz o check-in no balcão do CP2,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-15T09:00:00Z,2022-02-18T16:00:00Z,data/Badges/AtividadesDesafios/acreditacao.svg,3,5
SEI Lover,Dá like em todos os posts do Instagram e Facebook da SEI,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,data/Badges/AtividadesDesafios/seilover.svg,3,10
Influencer,Partilha uma foto da SEI no Instagram (e dá tag à conta da SEI) ou no Twitter (e dá tag à conta do CeSIUM),2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,data/Badges/AtividadesDesafios/influencer.svg,3,10
Early Bird,Sê uma das primeiras 30 inscrições na SEI,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-14T09:00:00Z,2022-02-14T09:01:00Z,data/Badges/AtividadesDesafios/earlybird.svg,3,10
Shopaholic,Compra um artigo de merch da loja do CeSIUM (store.cesium.di.uminho.pt),2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,data/Badges/AtividadesDesafios/shopaholic.svg,3,10
Let Me Take A #Selfie,Tirar foto com a mascote,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,data/Badges/AtividadesDesafios/selfie.svg,3,10
STAY SEI-FE,Usa uma máscara da cor da SEI,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,data/Badges/AtividadesDesafios/sensei.svg,3,5
"First come, first served",Sê um dos primeiros 15 a fazer o check-in,2022-02-15T09:00:00Z,2022-02-15T12:00:00Z,2022-02-15T09:00:00Z,2022-02-15T12:00:00Z,data/Badges/AtividadesDesafios/fcfs.svg,3,10
"Attention span, who?",Faz um reels sobre a SEI,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,data/Badges/AtividadesDesafios/attention_span.svg,3,20
Filtro,Publica um instastory com o filtro de instagram da SEI,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,data/Badges/AtividadesDesafios/filtro.svg,3,15
Parede,Tira uma foto na parede da SEI,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,data/Badges/AtividadesDesafios/parede.svg,3,15
5 empresas,Fala com 5 empresas,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-14T09:00:00Z,2022-02-14T09:01:00Z,data/Badges/Empresa/5empresas.svg,3,10
10 empresas,Fala com 10 empresas,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-14T09:00:00Z,2022-02-14T09:01:00Z,data/Badges/Empresa/10empresas.svg,3,30
15 empresas,Fala com 15 empresas,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-14T09:00:00Z,2022-02-14T09:01:00Z,data/Badges/Empresa/15empresas.svg,3,60
19 empresas,Fala com 19 empresas,2022-02-15T09:00:00Z,2022-02-18T17:00:00Z,2022-02-14T09:00:00Z,2022-02-14T09:01:00Z,data/Badges/Empresa/19empresas.svg,3,100
Talk - Olhando para o Futuro,Participa na talk 'Olhando para o Futuro',2022-02-15T12:00:00Z,2022-02-15T13:00:00Z,2022-02-15T09:00:00Z,2022-02-15T14:00:00Z,data/Badges/Talk/1_TALK.svg,6,25
Talk - Passwordless FIDO2/Webauthn 101: Strong security meets great UX,Participa na talk 'Passwordless FIDO2/Webauthn 101: Strong security meets great UX',2022-02-15T14:00:00Z,2022-02-15T15:00:00Z,2022-02-15T14:00:00Z,2022-02-15T18:00:00Z,data/Badges/Talk/2_TALK.svg,6,25
Talk -  Elixir in the community,Participa na talk 'Elixir in the community',2022-02-15T15:00:00Z,2022-02-15T16:00:00Z,2022-02-15T14:00:00Z,2022-02-15T18:00:00Z,data/Badges/Talk/3_TALK.svg,6,25
Tertúlia - 'De PEI a empresa',Participa na tertúia De PEI a empresa,2022-02-15T17:00:00Z,2022-02-15T18:00:00Z,2022-02-15T16:00:00Z,2022-02-15T18:00:00Z,data/Badges/AtividadesDesafios/tertulia_PEI.svg,6,25
