name,description,begin_time,end_time,begin_badge,end_badge,image_path,type,tokens,counts_for_day
Sessão de Abertura,Participa na Sessão de Abertura,2024-02-06T10:00:00Z,2024-02-06T11:00:00Z,2024-02-06T10:00:00Z,2024-02-06T12:00:00Z,data/badges/images/sessao_abertura.svg,3,20,1
Dia 1,Participa no evento no dia 6 de fevereiro,2024-02-06T09:00:00Z,2024-02-06T18:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/dia6.svg,3,20,1
Dia 2,Participa no evento no dia 7 de fevereiro,2024-02-07T09:00:00Z,2024-02-07T18:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/dia7.svg,3,20,1
Dia 3,Participa no evento no dia 8 de fevereiro,2024-02-08T09:00:00Z,2024-02-08T18:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/dia8.svg,3,20,1
Dia 4,Participa no evento no dia 9 de fevereiro,2024-02-09T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/dia9.svg,3,20,1
Determinado,"Participa em todos os dias do evento (6, 7, 8 e 9)",2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/determinado.svg,3,40,1
Colecionador,Recebe 100 badges,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/colecionador.svg,3,100,1
Talk Aficionado,Participa em todas as talks e tertúlias,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/talk_aficionado.svg,3,50,1
Workshop Enthusiast,Participa em 3 workshops,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/workshop_enthusiast.svg,3,50,1
Curious George,Participa em todos os pitches,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/curious_george.svg,3,50,1
Acreditação,Faz o check-in no balcão do CP2,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/acreditacao.svg,3,10,1
SEI Lover,Dá like em todos os posts do Instagram da SEI,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/sei_lover.svg,3,10,0
Influencer,Partilha uma foto da SEI no Instagram (e dá tag à conta da SEI) ou no Twitter (e dá tag à conta do CeSIUM),2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/influencer.svg,3,10,1
Early Bird,Sê uma das primeiras 30 inscrições na SEI,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/early_bird.svg,3,10,1
Let Me Take A Selfie,Tirar foto com a mascote,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/let_me_take_a_selfie.svg,3,10,1
Lucky Bastard,Joga na 'Spin the Wheel' para te habilitares a receber este badge,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/lucky_bastard.svg,3,25,1
"First Come, First Served",Sê um dos primeiros 50 a fazer o check-in,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-06T14:00:00Z,data/badges/images/first_come_first_served.svg,3,20,1
Attention span,Participa em 2 dias do evento,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/attention_span.svg,3,10,1
Backdrop,Tira uma foto no backdrop da SEI,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/backdrop.svg,3,25,1
Gotta Catch Them All,Coleciona todos os badges,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/catch_them_all.svg,3,100,1
SolidariUM,"Doa um bem alimentar, uma peça de vestuário ou um brinquedo no balcão do CP2",2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/solidarium.svg,3,25,1
Dripium,Traz uma peça de merch do CeSIUM vestida,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/dripium.svg,3,10,1
Bug Catcher,Encontra um bug no site da SEI,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/bug_catcher.svg,3,10,1
Rabbit Hole,Encontra a rota secreta no site da SEI,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/rabbit_hole.svg,3,10,1
Bear Grylls' Pupil,Vê o Survival Guide do evento,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/survival_guide.svg,3,5,1
It's time to BeReal,Tira um BeReal na SEI,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/bereal.svg,3,10,0
The REAL One,Tira um BeReal em todos os dias da SEI,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/the_real_one.svg,3,40,0
You Got a Friend in Me,Pede ao fotógrafo para tirar uma foto com um amigo,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/you_got_a_friend_in_me.svg,3,10,1
ESPETÁCULO!,Roda a roleta física,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/espetaculo.svg,3,20,1
Gambling Addiction,Joga na 'Spin the Wheel' e nos 'Slots',2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/gambling_addiction.svg,3,15,1
5 empresas,Fala com 5 empresas,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/empresas5.svg,0,10,1
10 empresas,Fala com 10 empresas,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/empresas10.svg,0,30,1
15 empresas,Fala com 15 empresas,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/empresas15.svg,0,60,1
20 empresas,Fala com 20 empresas,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/empresas20.svg,0,90,1
25 empresas,Fala com 25 empresas,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/empresas25.svg,0,120,1
29 empresas,Fala com 29 empresas,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/empresas29.svg,0,150,1
Gold Mine,Coleciona os badges de todos os Gold sponsors,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/gold_mine.svg,3,20,1
Spotlight,Participa num spotlight,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2024-02-05T09:00:00Z,2024-02-05T09:01:00Z,data/badges/images/spotlight.svg,3,15,1
Talk Checkmarx,Participa na talk 'Application Security sem comprometer Developer Efficiency',2024-02-06T12:00:00Z,2024-02-06T13:00:00Z,2024-02-06T12:00:00Z,2024-02-06T13:00:00Z,data/badges/images/talk_checkmarx.svg,6,25,1
Talk Accenture,Participa na talk 'READY! SET! CLOUD!',2024-02-06T14:00:00Z,2024-02-06T15:00:00Z,2024-02-06T14:00:00Z,2024-02-06T16:00:00Z,data/badges/images/talk_accenture.svg,6,25,1
Tertúlia Motivation vs Consistency: Fueling Long-Term Success in Software Engineering,Participa na tertúlia 'Motivation vs Consistency: Fueling Long-Term Success in Software Engineering',2024-02-06T15:00:00Z,2024-02-06T16:00:00Z,2024-02-06T15:00:00Z,2024-02-06T17:00:00Z,data/badges/images/tertulia_motivation.svg,6,25,1
Talk Retail Consult,Participa na talk 'Tech behind Trends: Da Ideia à Prateleira',2024-02-07T11:30:00Z,2024-02-07T12:30:00Z,2024-02-06T11:30:00Z,2024-02-06T13:30:00Z,data/badges/images/talk_retail.svg,6,25,1
Talk Filipe Santiago,Participa na talk 'Como o software ajuda numa equipa de Fórmula 1?',2024-02-07T14:00:00Z,2024-02-07T15:00:00Z,2024-02-07T14:00:00Z,2024-02-07T16:00:00Z,data/badges/images/talk_formula1.svg,6,25,1
Talk Ricardo Mota,Participa na talk 'Os videojogos como opção de carreira',2024-02-07T15:00:00Z,2024-02-07T16:00:00Z,2024-02-07T15:00:00Z,2024-02-07T17:00:00Z,data/badges/images/talk_videojogos.svg,6,25,1
Tertúlia O Futuro Universitário com a Inteligência Artificial,Participa na tertúlia 'O Futuro Universitário com a Inteligência Artificial',2024-02-07T17:00:00Z,2024-02-07T18:00:00Z,2023-02-07T17:00:00Z,2024-02-07T19:00:00Z,data/badges/images/tertulia_ia.svg,6,25,1
Talk Uphold,"Participa na talk 'Decoding the Future: Exploring Bitcoin, Blockchain, and DeFi Innovations'",2024-02-08T11:30:00Z,2024-02-08T12:30:00Z,2024-02-08T11:30:00Z,2024-02-08T13:30:00Z,data/badges/images/talk_uphold.svg,6,25,1
