name,max_amount_per_attendee,stock,probability,is_redeemable,path_to_image
Air Fryer,1,1,0.0008,yes,data/prizes/images/airfrier.png
Odisseias,1,1,0.0008,yes,data/prizes/images/odisseias.png
Nest Mini,1,1,0.00085,yes,data/prizes/images/googlenest.png
Powerbank,1,1,0.0009,yes,data/prizes/images/powerbank.png
Mi Band,1,1,0.00085,yes,data/prizes/images/miband.png
Cartão Fnac 15€,1,4,0.0011,yes,data/prizes/images/fnac-card.png
Cartão Steam 10€,1,4,0.0011,yes,data/prizes/images/steam-card.png
Set Ferramentas,1,1,0.0009,yes,data/prizes/images/kitchaves.png
Mousepad,1,3,0.00012,yes,data/prizes/images/mousepad.png
Fones Bluetooth,1,3,0.00012,yes,data/prizes/images/headsetartic.png
Hoodie SEI'22,1,9,0.0025,yes,data/prizes/images/hoodie-sei-22.png
Caneca SEI'22,1,9,0.0025,yes,data/prizes/images/sei-22-caneca.png
Caneca SEI'23,1,9,0.0025,yes,data/prizes/images/sei-23-caneca.png
Chocolates,1,96,0.015,yes,data/prizes/images/chocolates.png
Gomas,1,200,0.03,yes,data/prizes/images/gomas.png
1 Entrada no Jantar Empresarial,1,2,0.002,no,data/prizes/images/jantar_empresarial.svg
Lucky Bastard,1,999999,0.1,no,data/prizes/images/lucky_bastard.svg
Tokens,999999,999999,0.07,no,data/prizes/images/tokens.png
Entradas para o sorteio final,999999,999999,0.17,no,data/prizes/images/entries.png
Nada,999999,999999,0.59711,no,data/prizes/images/nada.png
