name,price,stock,max_per_user,description,is_redeemable,path_to_image
T-shirt SEI,200,20,1,T-shirt SEI,yes,data/store/square-tshirt-sei23-trans.png
Bloco SEI,150,20,1,Bloco SEI,yes,data/store/square-bloco-trans.png
Caneta SEI'22,50,20,2,Caneta SEI'22,yes,data/store/
Caneca SEI '22,800,15,1,Caneca SEI'22,yes,data/store/square-caneca-sei-trans.png
Hoodie Preta,350,4,1,Hoodie Preta,yes,data/store/square-hoodie-preto-trans.png
Hoodie Laranja,300,5,1,Hoodie Laranja,yes,data/store/square-hoodie-laranja-trans.png
Varsity Jacket,250,6,1,Varsity Jacket,yes,data/store/square-varsity-trans.png
T-shirt de ano,150,15,1,T-shirt CeSIUM,yes,data/store/square-tshirt-2122-trans.png
Meias Brancas,75,20,1,Meias CeSIUM,yes,data/store/square-meias-brancas-trans.png
Meias Laranja,75,20,1,Meias CeSIUM,yes,data/store/square-meias-laranja-trans.png
CodeBoy,400,1,1,T-shirt CodeBoy,yes,data/store/square-coderboy-trans.png
CodeGirl,400,1,1,T-shirt CodeGirl,yes,data/store/square-codergirl-trans.png
Hoodie Dojo,500,2,1,Hoodie CoderDojo,yes,data/store/square-hoodie-dojo-trans.png
T-shirt branca,150,12,1,T-shirt Branca CeSIUM,yes,data/store/
Caneta SEI,0,9999,1,Prémio por visitares 10 empresas,no,data/store/
Pack de Stickers,0,9999,1,Prémio por visitares 15 empresas (Imagem Exemplificativa),no,data/store/
Bloco SEI,0,9999,1,Prémio por visitares 20 empresas,no,data/store/square-bloco-trans.png
Caneca SEI '23,0,9999,1,Prémio por visitares 24 empresas,no,data/store/square-caneca-sei23-trans.png
