name,description,begin_time,end_time,begin_badge,end_badge,image_path,type,tokens,sponsorship,channel_id,cv_access
Accenture,Visita o stand da Accenture,2024-02-06T09:00:00Z,2024-02-08T17:00:00Z,2024-02-06T09:00:00Z,2024-02-08T18:00:00Z,data/sponsors/images/accenture.svg,4,60,Gold,0,1
Checkmarx,Visita o stand da Checkmarx,2024-02-06T09:00:00Z,2024-02-08T17:00:00Z,2024-02-06T09:00:00Z,2024-02-08T18:00:00Z,data/sponsors/images/checkmarx.svg,4,60,Gold,1,1
Retail Consult,Visita o stand da Retail Consult,2024-02-06T09:00:00Z,2024-02-08T17:00:00Z,2024-02-06T09:00:00Z,2024-02-08T18:00:00Z,data/sponsors/images/retail.svg,4,60,Gold,2,1
Uphold,Visita o stand da Uphold,2024-02-07T09:00:00Z,2024-02-09T17:00:00Z,2024-02-07T09:00:00Z,2024-02-09T18:00:00Z,data/sponsors/images/uphold.svg,4,60,Gold,3,1
Critical Techworks,Visita o stand da Critical Techworks,2024-02-07T09:00:00Z,2024-02-09T17:00:00Z,2024-02-07T09:00:00Z,2024-02-09T18:00:00Z,data/sponsors/images/critical.svg,4,60,Gold,4,1
AgentifAI,Visita o stand da AgentifAI,2024-02-06T09:00:00Z,2024-02-07T17:00:00Z,2024-02-06T09:00:00Z,2024-02-07T18:00:00Z,data/sponsors/images/agentifai.svg,4,60,Gold,5,1
Xpand IT,Visita o stand da Xpand IT,2024-02-06T09:00:00Z,2024-02-07T17:00:00Z,2024-02-06T09:00:00Z,2024-02-07T18:00:00Z,data/sponsors/images/xpand_it.svg,4,40,Silver,6,0
Deloitte ,Visita o stand da Deloitte ,2024-02-06T09:00:00Z,2024-02-07T17:00:00Z,2024-02-06T09:00:00Z,2024-02-07T18:00:00Z,data/sponsors/images/deloitte.svg,4,40,Silver,7,0
Continental,Visita o stand da Continental,2024-02-08T09:00:00Z,2024-02-09T17:00:00Z,2024-02-08T09:00:00Z,2024-02-09T18:00:00Z,data/sponsors/images/continental.svg,4,40,Silver,8,0
ITSector,Visita o stand da ITSector,2024-02-06T09:00:00Z,2024-02-07T17:00:00Z,2024-02-06T09:00:00Z,2024-02-07T18:00:00Z,data/sponsors/images/itsector.svg,4,40,Silver,9,0
