Nome;Descrição;Data Inicio;Data Fim;Imagem;Tipo
Xpand It;Falaste com a Xpand It;2019-02-04;2019-02-06;images/empresas/xpandit.png;2
Accenture;Falaste com a Accenture;2019-02-04;2019-02-09;images/empresas/accenture.png;2
OutSystems;Falaste com a OutSystems;2019-02-04;2019-02-06;images/empresas/outsystems.png;2
Glintt;Falaste com a Glintt;2019-02-04;2019-02-05;images/empresas/glintt.png;2
WeDo;Falaste com a WeDo;2019-02-05;2019-02-09;images/empresas/wedo.png;2
Blip ;Falaste com a Blip;2019-02-05;2019-02-06;images/empresas/blip.png;2
Alten;Falaste com a Alten;2019-02-05;2019-02-06;images/empresas/alten.png;2
Primavera;Falaste com a Primavera;2019-02-05;2019-02-07;images/empresas/primavera.png;2
Aptiv;Falaste com a Aptiv;2019-02-06;2019-02-09;images/empresas/aptiv.png;2
Talkdesk;Falaste com a Talkdesk;2019-02-06;2019-02-08;images/empresas/talkdesk.png;2
Farfetch;Falaste com a Farfetch;2019-02-06;2019-02-09;images/empresas/farfetch.png;2
Bosch;Falaste com a Bosch;2019-02-06;2019-02-08;images/empresas/bosch.png;2
Seegno;Falaste com a Seegno;2019-02-06;2019-02-07;images/empresas/seegno.png;2
Eurotux;Falaste com a Eurotux;2019-02-07;2019-02-09;images/empresas/eurotux.png;2
SmithMicro;Falaste com a SmithMicro;2019-02-08;2019-02-09;images/empresas/smithmicro.png;2
