Nome;Descrição;Data Inicio;Data Fim;Imagem;Tipo
David Amador;Falaste com o David Amador;2019-02-04;2019-02-05;images/Oradores/Segunda/davidamador.png;5
Job Van Der Voort;Falaste com o Job Van Der Voort;2019-02-04;2019-02-05;images/Oradores/Segunda/job.png;5
Ricardo Soares;Falaste com o Ricardo Soares;2019-02-04;2019-02-05;images/Oradores/Segunda/ricardosoares.png;5
Ségio  Gaio;Falaste com o Sérgio Gaio;2019-02-04;2019-02-05;images/Oradores/Segunda/sergiogaio.png;5
André Pimenta;Falaste com o André Pimenta;2019-02-05;2019-02-06;images/Oradores/terça/andrepimenta.png;5
André Silva;Falaste com o André Silva;2019-02-05;2019-02-06;images/Oradores/terça/andresilva.png;5
Carlos Jesus;Falaste com o Carlos Jesus;2019-02-05;2019-02-06;images/Oradores/terça/carlosjesus.png;5
Carlos Moreira;Falaste com o Carlos Moreira;2019-02-05;2019-02-06;images/Oradores/terça/carlosmoreira.png;5
Celso Martinho;Falaste com o Celso Martinho;2019-02-05;2019-02-06;images/Oradores/terça/celsomartinho.png;5
Cesar Pinto;Falaste com o Cesar Pinto;2019-02-05;2019-02-06;images/Oradores/terça/cesarpinto.png;5
Fabio Martins;Falaste com o Fabio Martins;2019-02-05;2019-02-06;images/Oradores/terça/fabiomartins.png;5
Hernandi Fernandes;Falaste com o Hernandi Fernandes;2019-02-05;2019-02-06;images/Oradores/terça/hernandifernandes.png;5
Paulo Marques;Falaste com o Paulo Marques;2019-02-05;2019-02-06;images/Oradores/terça/paulomarques.png;5
Rui Saraiva;Falaste com o Rui Saraiva;2019-02-05;2019-02-06;images/Oradores/terça/ruisaraiva.png;5
Tiago Fernandes;Falaste com o Tiago Fernandes;2019-02-05;2019-02-06;images/Oradores/terça/tiagofernandes.png;5
André Sousa;Falaste com o André Sousa;2019-02-06;2019-02-07;images/Oradores/quarta/andresousa.png;5
Daniel Ferrari;Falaste com o Daniel Ferrari;2019-02-06;2019-02-07;images/Oradores/quarta/danielferrari.png;5
Jorge Resende;Falaste com o Jorge Resende;2019-02-06;2019-02-07;images/Oradores/quarta/jorgeresende.png;5
Nuno Cascais;Falaste com o Nuno Cascais;2019-02-06;2019-02-07;images/Oradores/quarta/nunocascais.png;5
Raphael Espanha;Falaste com o Raphael Espanha;2019-02-06;2019-02-07;images/Oradores/quarta/raphaelespanha.png;5
Raul Azevedo;Falaste com o Raul Azevedo;2019-02-06;2019-02-07;images/Oradores/quarta/raulazavedo.png;5
João Martins;Falaste com o João Martins;2019-02-07;2019-02-08;images/Oradores/quinta/joaomartins.png;5
Diogo Cruz;Falaste com o Diogo Cruz;2019-02-07;2019-02-08;images/Oradores/quinta/diogocruz.png;5
André Barbosa;Falaste com o André Barbosa;2019-02-07;2019-02-08;images/Oradores/quinta/andrebarbosa.png;5
Bruno Ribeiro;Falaste com o Bruno Ribeiro;2019-02-07;2019-02-08;images/Oradores/quinta/brunoribeiro.png;5
José Carreiras;Falaste com o José Carreiras;2019-02-07;2019-02-08;images/Oradores/quinta/josecarreiras.png;5
Leandro Duarte;Falaste com o Leandro Duarte;2019-02-08;2019-02-09;images/Oradores/sexta/leandroduarte.png;5
Marcio Azevedo;Falaste com o Marcio Azevedo;2019-02-08;2019-02-09;images/Oradores/sexta/marcioazavedo.png;5
Nuno Fernandes;Falaste com o Nuno Fernandes;2019-02-08;2019-02-09;images/Oradores/sexta/nunofernandes.png;5
Paulo Gomes;Falaste com o Paulo Gomes;2019-02-08;2019-02-09;images/Oradores/sexta/paulogomes.png;5
