Nome;Descrição;Data Inicio;Data Fim;Imagem;Tipo
4 Empresas;Visitaste 4 empresas;2019-02-04;2019-02-09;images/outros/4.png;7
8 Empresas;Visitaste 8 empresas;2019-02-04;2019-02-09;images/outros/8.png;7
12 Empresas;Visitaste 12 empresas;2019-02-04;2019-02-09;images/outros/12.png;7
15 Empresas;Visitaste 15 empresas;2019-02-04;2019-02-09;images/outros/15.png;7
100% Participação;Ganha uma vida;2019-02-04;2019-02-09;images/outros/100p.png;7
Acreditação;Bem vindo à SEI!;2019-02-04;2019-02-09;images/outros/acreditaçao.png;7
Arraial;Festa!;2019-02-04;2019-02-09;images/outros/arraial.png;7
Contributor;Obrigado pelo PR!;2019-02-04;2019-02-09;images/outros/contributor.png;7
Entrega do CV;Preparado para o mundo de trabalho;2019-02-04;2019-02-09;images/outros/cv.png;7
Early Badge;The early bird gets the worm;2019-02-04;2019-02-09;images/outros/early-bird.png;7
First Come Fist Served;You're up early!;2019-02-04;2019-02-09;images/outros/fstcome.png;7
Inquisitor;Fizeste uma pergunta;2019-02-04;2019-02-09;images/outros/inquisitor.png;7
Jantar de Networking;Mestre das relações públicas;2019-02-04;2019-02-09;images/outros/jantar.png;7
PR Master;Bem jogado moço;2019-02-04;2019-02-09;images/outros/pr-master.png;7
Rally de LEI;Adeus fígado;2019-02-04;2019-02-09;images/outros/rally.png;7
Rei dos Coffee Breaks;Foge do Vilaça...;2019-02-04;2019-02-09;images/outros/rei.png;7
SEI Lover;We love you too;2019-02-04;2019-02-09;images/outros/sei-lover.png;7
Selfie com a Mascote;Diz SEI!;2019-02-04;2019-02-09;images/outros/selfie.png;7
Socialite;Bem vindo ao clube;2019-02-04;2019-02-09;images/outros/socialite.png;7
Treasure Hunter;Do ye know any good pirate jokes? Well, neither do ayyyye!;2019-02-04;2019-02-09;images/outros/treasure.png;7
